Flickr Order,Ensemble,project_sample_id,image_id,G5 Lampyridae,MS1,MS2,MS 3,MS 4,MS 5,MS 6,MS7,MS8,MS9,Habitat,PlotID,Locality,Longitude,Latitude,Elevation,Date,Month,total_individuals
267,2,Huat_NHMUK015578716-01,Huat01a 05-09-22 a_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,4
268,2,Huat_NHMUK015578716-02,Huat01a 05-09-22 b_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,7
262,2,Huat_NHMUK015578716-03,Huat01a 05-09-22 c_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,7
264,2,Huat_NHMUK015578716-04,Huat01a 05-09-22 d_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,5
274,2,Huat_NHMUK015578716-05,Huat01 05-09-22 a_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,27
272,2,Huat_NHMUK015578716-06,Huat01 05-09-22 b_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,60
266,2,Huat_NHMUK015578716-07,Huat01 05-09-22 redo_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,4
271,2,Huat_NHMUK015578716-08,Huat01 05-09-22 c_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,30
270,2,Huat_NHMUK015578716-09,Huat01 05-09-22 d_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,38
269,2,Huat_NHMUK015578716-10,Huat01 05-09-22 c&d redo_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,05/09/2022,9,2
305,2,Huat_NHMUK015578717-01,Huat01 04-10-22 a_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,04/10/2022,6,2
275,2,Huat_NHMUK015578717-02,Huat01 04-10-22 b_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,04/10/2022,10,2
278,2,Huat_NHMUK015578718-01,Huat01 03-11-22 a_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,03/11/2022,11,2
279,2,Huat_NHMUK015578718-02,Huat01 03-11-22 b_thumbnail,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highly disturbed tropical dry forest,Huat01,Cacaluta1,-96.163506,15.729558,18,03/11/2022,11,8
