"","flickr_order","ensemble","project_sample_id","image_id","habitat","plot_id","locality","longitude","latitude","elevation","date","month","plot_id_2","unique_plot_month","plot_x_month_id","x","x_1","x_2","x_3","x_4","image_id_1","habitat_2","plotid","locality_2","longitude_2","latitude_2","elevation_2","collection_date","x_5","x_6","x_7","count_type","count"
"1",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G1.Elateridae",0
"2",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G2.Cerambycidae",4
"3",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G3.Curculionidae",2
"4",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G4.Scarabaeidae",0
"5",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G5.Lampyridae",0
"6",133,2,"Huat_NHMUK015578748-02","Huat11 09-01-22 b_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-03_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"Total.Individuals",11
"7",134,2,"Huat_NHMUK015578748-04","Huat11 09-01-22 d_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-02_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G1.Elateridae",3
"8",134,2,"Huat_NHMUK015578748-04","Huat11 09-01-22 d_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-02_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G2.Cerambycidae",0
"9",134,2,"Huat_NHMUK015578748-04","Huat11 09-01-22 d_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-02_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G3.Curculionidae",0
"10",134,2,"Huat_NHMUK015578748-04","Huat11 09-01-22 d_thumbnail","Preserved tropical dry forest","Huat11","HNP 2","-96.195547","15.769442","N/A","2022-01-09",1,"11","11","1",NA,NA,NA,NA,NA,"NHMUK015580258-02_thumbnail","Preserved tropical dry forest","Huat14","HNP 5",-96.203467,15.769125,"N/A","2022-06-18",NA,NA,NA,"G4.Scarabaeidae",0
