Flickr Order,Ensemble,project_sample_id,image_id,Total Individuals,G1 Elateridae,G2 Cerambycidae,G3 Curculionidae,G4 Scarabaeidae,G5 Lampyridae,Habitat,PlotID,Locality,Longitude,Latitude,Elevation,Date,Month,PlotID #,Unique Plot*Month,PlotXMonth ID,,,,,,image_id,habitat,plotid,locality,longitude,latitude,elevation,collection_date,,,
133,2,Huat_NHMUK015578748-02,Huat11 09-01-22 b_thumbnail,11,0,4,2,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-01-09,1,11,11,1,,,,,,NHMUK015580258-03_thumbnail,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-06-18,,,
134,2,Huat_NHMUK015578748-04,Huat11 09-01-22 d_thumbnail,28,3,0,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-01-09,1,11,11,1,,,,,,NHMUK015580258-02_thumbnail,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-06-18,,,
137,2,Huat_NHMUK015578748-03,Huat11 09-01-22 c_thumbnail,36,0,0,0,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-01-09,1,11,11,1,,,,,,NHMUK015580258-01_thumbnail,Preserved tropical dry forest,Huat14,HNP 5,-96.203467,15.769125,N/A,2022-06-18,,,
312,2,Huat_NHMUK015578748-01,Huat11 09-01-22 a_thumbnail,5,0,0,2,0,0,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-01-09,1,11,11,1,,,,,,NHMUK015580256-06_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
342,3,Huat_NHMUK015580227-01,Huat_NHMUK015580227-01_thumbnail,8,0,0,2,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-01-09,1,13,13,2,,,,,,NHMUK015580256-05_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
343,3,Huat_NHMUK015580227-02,Huat_NHMUK015580227-02_thumbnail,3,0,0,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-01-09,1,13,13,2,,,,,,NHMUK015580256-04_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
344,3,Huat_NHMUK015580227-03,Huat_NHMUK015580227-03_thumbnail,1,0,1,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-01-09,1,13,13,2,,,,,,NHMUK015580256-03_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
345,3,Huat_NHMUK015580227-04,Huat_NHMUK015580227-04_thumbnail,19,0,0,2,2,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-01-09,1,13,13,2,,,,,,NHMUK015580256-02_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
346,3,Huat_NHMUK015580227-05,Huat_NHMUK015580227-05_thumbnail,6,0,0,0,0,0,Preserved tropical dry forest,Huat13,HNP 4,-96.203078,15.766389,N/A,2022-01-09,1,13,13,2,,,,,,NHMUK015580256-01_thumbnail,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-06-04,,,
292,2,Huat_NHMUK015580252-08,Huat_NHMUK015580252-08_thumbnail,1,0,0,0,0,0,Preserved tropical dry forest,Huat12,HNP 3,-96.191631,15.766819,N/A,2022-02-12,2,12,26,3,,,,,,NHMUK015580255-16_thumbnail,Preserved tropical dry forest,Huat11,HNP 2,-96.195547,15.769442,N/A,2022-06-18,,,
